Spectrum Name,Detection Rate,False Detection Rate,False Detection Elements,Detection Limit
03116_95_random,0.45454545454545453,0.0,,0.0287307404723618
03124_95_random,0.2727272727272727,0.0,,0.7702724685531173
03130_95_random,0.2727272727272727,0.0,,1.0578176390255714
03134_95_random,0.18181818181818182,0.0,,1.054673672361378
070036_95_random,0.18181818181818182,0.09090909090909091,Tb,0.8965354107026005
070099_95_random,0.2727272727272727,0.09090909090909091,Gd,0.2469158630153
070101_95_random,0.09090909090909091,0.09090909090909091,Gd,2.401242246437297
070159_95_random,0.36363636363636365,0.0,,0.5841472182813353
070171_95_random,0.09090909090909091,0.09090909090909091,La,0.5872498317731096
07103_95_random,0.5454545454545454,0.0,,0.0800422042069783
07105_95_random,0.2727272727272727,0.0,,0.2575382233946283
07106_95_random,0.18181818181818182,0.0,,1.983374176476902
07107_95_random,0.45454545454545453,0.0,,0.1032903995689961
07111_95_random,0.2727272727272727,0.0,,0.5087232437134306
07121_95_random,0.36363636363636365,0.0,,0.2827536578251104
07122_95_random,0.36363636363636365,0.0,,0.1384078672586853
07125_95_random,0.6363636363636364,0.09090909090909091,Tb,0.1245773697243209
07141_95_random,0.45454545454545453,0.0,,0.2356681322277069
07145_95_random,0.36363636363636365,0.09090909090909091,Yb,0.4470280148458118
07405_95_random,0.2727272727272727,0.0,,0.2740009488131543
07407_95_random,0.2727272727272727,0.0,,0.2225665036761633
07840_95_random,0.0,0.18181818181818182,Yb;Nd,
