Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
200,3230.5820000000003,1.5,440.434,4f12(3H6)6s1/2,"(6,1/2)",11月2日,12,,
200,3230.5820000000003,1.5,31385.667, ,～,11月2日,12,,
250,3264.782,0.58,0.0,4f12(3H6)6s1/2,"(6,1/2)",2月13日,14,,
250,3264.782,0.58,30621.102000000003,4f12(3H6)6p3/2?,"(6,3/2)～?",2月13日,14,,
200,3312.4240000000004,0.37,440.434,4f12(3H6)6s1/2,"(6,1/2)",11月2日,12,N,
200,3312.4240000000004,0.37,30621.102000000003,4f12(3H6)6p3/2?,"(6,3/2)～?",2月13日,14,N,
700,3372.71,1.3,0.0,4f12(3H6)6s1/2,"(6,1/2)",2月13日,14,,
700,3372.71,1.3,29640.862999999998,4f12(3H6)6p3/2?,"(6,3/2)～?",2月15日,16,,
200,3391.998,0.235,0.0,4f12(3H6)6s1/2,"(6,1/2)",2月13日,14,,
200,3391.998,0.235,29472.789, ,～,2月15日,16,,
600,3499.1040000000003,0.75,440.434,4f12(3H6)6s1/2,"(6,1/2)",11月2日,12,,
600,3499.1040000000003,0.75,29011.015,4f12(3H6)6p3/2?,"(6,3/2)～?",9月2日,10,,
300,3616.565,0.2,0.0,4f12(3H6)6s1/2,"(6,1/2)",2月13日,14,,
300,3616.565,0.2,27642.658, ,～,11月2日,12,,
700,3692.65,0.48,440.434,4f12(3H6)6s1/2,"(6,1/2)",11月2日,12,N,
700,3692.65,0.48,27513.555, ,～,2月13日,14,N,
300,3830.482,0.14,0.0,4f12(3H6)6s1/2,"(6,1/2)",2月13日,14,N,
300,3830.482,0.14,26098.972,4f12(3H6)6p1/2?,"(6,1/2)～?",2月13日,14,N,
500,3896.2340000000004,0.18,440.434,4f12(3H6)6s1/2,"(6,1/2)",11月2日,12,,
500,3896.2340000000004,0.18,26098.972,4f12(3H6)6p1/2?,"(6,1/2)～?",2月13日,14,,
1000,3906.3109999999997,0.323,0.0,4f12(3H6)6s1/2,"(6,1/2)",2月13日,14,N,Si
1000,3906.3109999999997,0.323,25592.342999999997,4f12(3H6)6p1/2?,"(6,1/2)～?",11月2日,12,N,Si
200,3938.6259999999997, ,0.0,4f12(3H6)6s1/2,"(6,1/2)",2月13日,14,N,Mg
200,3938.6259999999997, ,25382.379, ,～,11月2日,12,N,Mg
