spectrum_name,Y,Eu,Lu,Er,Ho,Yb,La,Tm,Tb,Sm,Pr,Ce,Nd,Dy,Gd
03116_95_random,0.9618,0.9865,0.9504,0.9859,0.0000,0.2017,0.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03124_95_random,0.9607,0.5690,0.0000,0.8576,0.9827,0.4404,0.0000,0.4150,0.0904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03130_95_random,0.9412,0.6212,0.0000,0.7792,0.7952,0.4788,0.0000,0.9377,0.8944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
03134_95_random,0.9598,0.4454,0.9200,0.0000,0.9056,0.0000,0.8794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070036_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9327,0.6005,0.0000,0.0000,0.0000,0.0000,0.0000
070099_95_random,0.9648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070101_95_random,0.6230,0.3624,0.0000,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070159_95_random,0.9731,0.0000,0.9120,0.0000,0.8707,0.7136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
070171_95_random,0.9468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07103_95_random,0.0000,0.9664,0.0000,0.7435,0.9789,0.4759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07105_95_random,0.9449,0.0000,0.0000,0.0000,0.0000,0.7259,0.0000,0.9386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07106_95_random,0.9503,0.0000,0.9344,0.0000,0.7487,0.7494,0.0000,0.0000,0.7420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07107_95_random,0.0000,0.0000,0.0000,0.0000,0.8834,0.4607,0.0000,0.4572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07111_95_random,0.0000,0.0000,0.0000,0.8227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7085,0.0000,0.0000,0.0000,0.0000
07121_95_random,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9267,0.9779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07122_95_random,0.0000,0.0000,0.0000,0.7432,0.9649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07125_95_random,0.0000,0.7594,0.6681,0.0000,0.8859,0.0000,0.5762,0.5795,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07141_95_random,0.9503,0.0000,0.3531,0.7411,0.8207,0.5590,0.0000,0.0000,0.7680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07145_95_random,0.7841,0.0000,0.7505,0.0000,0.0000,0.6075,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07405_95_random,0.0000,0.0000,0.0000,0.9322,0.0000,0.0000,0.8528,0.0379,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07407_95_random,0.0000,0.3500,0.6924,0.0000,0.0000,0.2736,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
07840_95_random,0.9344,0.0000,0.0000,0.0000,0.0000,0.2211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
